,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
4151,0.35,0.25,0.075,0.1695,0.0835,0.0355,0.041,6
2387,0.47,0.35,0.135,0.567,0.2315,0.1465,0.1525,11
2738,0.45,0.325,0.115,0.4305,0.2235,0.0785,0.1155,8
2367,0.65,0.545,0.16,1.2425,0.487,0.296,0.48,15
3078,0.695,0.535,0.2,1.5855,0.667,0.334,0.471,11
1968,0.665,0.525,0.18,1.429,0.6715,0.29,0.4,12
2126,0.5,0.4,0.125,0.5765,0.2395,0.126,0.185,10
3982,0.58,0.435,0.15,0.8915,0.363,0.1925,0.2515,6
871,0.62,0.505,0.16,1.3725,0.6285,0.275,0.3685,11
196,0.505,0.41,0.15,0.644,0.285,0.145,0.21,11
1221,0.33,0.205,0.095,0.1595,0.077,0.032,0.0435,5
1841,0.435,0.335,0.1,0.3245,0.135,0.0785,0.098,7
3729,0.51,0.38,0.135,0.681,0.3435,0.142,0.17,9
670,0.475,0.385,0.145,0.6175,0.235,0.108,0.215,14
3245,0.695,0.55,0.16,1.6365,0.694,0.3005,0.44,13
1034,0.655,0.46,0.16,1.494,0.6895,0.331,0.1825,9
614,0.45,0.35,0.145,0.525,0.2085,0.1,0.1655,15
4050,0.625,0.495,0.175,1.2935,0.5805,0.317,0.355,9
928,0.435,0.34,0.115,0.3925,0.1825,0.078,0.1145,6
1387,0.63,0.475,0.145,1.0605,0.5165,0.2195,0.28,10
2358,0.61,0.485,0.21,1.3445,0.535,0.2205,0.515,20
3984,0.6,0.465,0.155,1.262,0.6245,0.2455,0.33,10
554,0.485,0.39,0.125,0.591,0.287,0.141,0.12,9
2069,0.55,0.41,0.13,0.8705,0.4455,0.2115,0.213,9
1541,0.36,0.275,0.075,0.2205,0.0985,0.044,0.066,7
944,0.465,0.35,0.125,0.482,0.23,0.106,0.1095,6
3400,0.53,0.43,0.135,0.879,0.28,0.2165,0.25,10
1311,0.55,0.43,0.145,0.7895,0.3745,0.171,0.223,11
1160,0.605,0.475,0.165,1.056,0.433,0.2195,0.357,9
4130,0.58,0.45,0.14,0.824,0.3465,0.1765,0.263,10
2486,0.49,0.4,0.145,0.6635,0.21,0.1295,0.2515,13
1862,0.52,0.41,0.11,0.5185,0.2165,0.0915,0.184,8
253,0.575,0.46,0.185,1.094,0.4485,0.217,0.345,15
2647,0.5,0.39,0.125,0.583,0.294,0.132,0.1605,8
1637,0.575,0.465,0.195,0.9965,0.417,0.247,0.47,8
182,0.56,0.45,0.16,1.0235,0.429,0.268,0.3,10
666,0.455,0.35,0.12,0.4835,0.1815,0.144,0.16,11
1299,0.53,0.415,0.11,0.5745,0.2525,0.1235,0.189,9
3090,0.46,0.355,0.14,0.491,0.207,0.115,0.174,10
1383,0.625,0.48,0.155,1.2035,0.5865,0.239,0.3185,12
988,0.57,0.46,0.17,0.9035,0.4075,0.1935,0.214,7
868,0.615,0.52,0.15,1.3435,0.629,0.2605,0.345,10
1837,0.415,0.31,0.1,0.2805,0.114,0.0565,0.0975,6
3779,0.595,0.48,0.185,1.1785,0.526,0.2975,0.314,10
1941,0.625,0.47,0.145,0.984,0.475,0.2,0.265,11
107,0.5,0.4,0.125,0.6675,0.261,0.1315,0.22,10
4013,0.625,0.505,0.175,1.131,0.5425,0.2265,0.323,8
1345,0.585,0.475,0.15,1.065,0.5315,0.199,0.2885,10
3206,0.295,0.215,0.075,0.116,0.037,0.0295,0.04,8
4065,0.37,0.275,0.08,0.2325,0.093,0.056,0.072,6
3847,0.445,0.37,0.125,0.515,0.2495,0.087,0.159,9
2424,0.26,0.2,0.065,0.096,0.044,0.027,0.03,6
3012,0.39,0.3,0.1,0.2665,0.1105,0.059,0.084,7
2094,0.405,0.305,0.09,0.2825,0.114,0.0575,0.095,7
198,0.56,0.45,0.16,0.922,0.432,0.178,0.26,15
